By, ky, kz, growth_rate, frequency
0.0, 0.0, 2.0, -0.0005333333333333331, 5.793727054298243e-20
0.02, 0.0, 2.0, -0.0005333333333333326, 3.149567950082415e-20
0.04, 0.0, 2.0, -0.0005333333333333336, 1.651979827459728e-20
0.06, 0.0, 2.0, -0.0005333333333333328, -3.8310118422309044e-19
0.08, 0.25, 2.0, 0.0049777385832628146, -1.0773051134522933e-17
0.1, 0.25, 2.0, 0.014169108734094403, 2.102083140218557e-17
0.12, 0.25, 2.0, 0.021659796338226907, -9.083755745476903e-17
0.14, 0.75, 4.0, 0.03281819033002214, 0.09230939680345264
0.16, 0.75, 4.0, 0.04713947066634576, -0.10356585845583326
0.18, 1.0, 6.0, 0.06112927163987986, 0.17951316672876586
0.2, 0.75, 6.0, 0.0737784757631404, 0.14388566157189853
0.22, 0.75, 6.0, 0.085748072373279, -0.1556094574929928
0.24, 0.75, 6.0, 0.09590161671445319, 0.16625022755534
0.26, 0.75, 6.0, 0.10377885659413805, 0.17597859462560306
0.28, 0.75, 6.0, 0.10917482194444407, 0.1850748721433713
0.3, 0.75, 6.0, 0.11203450518695703, -0.1937364385113931
0.32, 0.75, 6.0, 0.112344512918542, 0.2020448028691918
0.34, 0.5, 6.0, 0.1111652979328614, 0.15191332905542249
0.36, 0.5, 6.0, 0.11163930707885829, 0.15951391721319894
0.38, 0.5, 6.0, 0.1103604748189767, -0.16713834821443282
0.4, 0.5, 6.0, 0.1072067331615129, -0.1746815934022451
0.42, 0.5, 6.0, 0.10201871132584112, 0.18193842968575713
0.44, 0.5, 6.0, 0.09463112923782607, -0.18853641056394557
0.46, 0.5, 6.0, 0.08498595640776624, 0.19384675152842057
0.48, 0.5, 4.0, 0.07388574412671405, -0.18213344397392314
0.5, 0.5, 4.0, 0.06164469137113444, -0.18428616324730634
