### DIFF = 0.01
### R = 1.01
### q = 0.75
ky, kz, GROWTH_RATE
0.0, 0.25, 0.013086655272246884
0.0, 0.5, 0.043054424910899496
0.25, 0.0, -0.07892197410633979
0.25, 0.25, 0.02698401229017095
0.25, 0.5, 0.04285013702210173
0.5, 0.0, -0.17500702799299106
0.5, 0.25, -0.026843591487827424
0.5, 0.5, 0.053548364043323096

### DIFF = 0.001
### R = 1.01
### q = 0.75
ky, kz, GROWTH_RATE
0.0, 0.25, 0.041433054906579184
0.0, 0.5, 0.08051508549564806
0.25, 0.0, -0.11477286041926278
0.25, 0.25, -0.005093304574418634
0.25, 0.5, 0.06601867918930242
0.5, 0.0, -0.23575638889379477
0.5, 0.25, -0.11867416300291703
0.5, 0.5, -0.025052786002522472

