### DIFF = 0.01
### R = 0.6
### q = 0.75
### Bz(x) = sin2.0x
ky, kz, GROWTH_RATE
0.0, 0.25, -0.016679099427488405
0.0, 0.5, -0.03401890697253255
0.0, 0.75, -0.06714607272996112
0.0, 1.0, -0.1167099518135476
0.25, 0.0, -0.09414617110350729
0.25, 0.25, -0.016096391688666632
0.25, 0.5, -0.051600020382516515
0.25, 0.75, -0.06535272753743122
0.25, 1.0, -0.114191673824872
0.5, 0.0, -0.209240502390954
0.5, 0.25, 0.01102010942013945
0.5, 0.5, -0.060868202846446305
0.5, 0.75, -0.08355803329547445
0.5, 1.0, -0.11768630541157973
0.75, 0.0, -0.347237781151992
0.75, 0.25, -0.038881358726944905
0.75, 0.5, -0.07810587250161846
0.75, 0.75, -0.12508363853166715
0.75, 1.0, -0.12806569377848814
1.0, 0.0, -0.42524540042841247
1.0, 0.25, -0.09017213296949426
1.0, 0.5, -0.06752374654891007
1.0, 0.75, -0.1266418247688607
1.0, 1.0, -0.1399275052237889
DOMINANT MODE AT (ky,kz) = (0.5, 0.25)
DOMINANT GROWTH RATE = 0.01102010942013945


### DIFF = 0.002
### R = 0.6
### q = 0.75
### Bz(x) = sin2.0x
ky, kz, GROWTH_RATE
0.0, 0.25, -0.00012055854530382261
0.0, 0.5, -0.003673761606692555
0.0, 0.75, -0.01843996979955914
0.0, 1.0, -0.041479133348109286
0.0, 1.25, -0.06833968311791284
0.0, 1.5, -0.09613526651206296
0.0, 1.75, -0.12369856585208241
0.0, 2.0, -0.15077707389722786
0.0, 2.25, -0.17745674466133232
0.0, 2.5, -0.20390307787425652
0.0, 2.75, -0.23027072616016456
0.25, 0.0, -0.11259685629042723
0.25, 0.25, -0.025849374907703657
0.25, 0.5, -0.024388363024576983
0.25, 0.75, -0.033869860550049195
0.25, 1.0, -0.042487172534320945
0.25, 1.25, -0.06741178547224708
0.25, 1.5, -0.09527690837004385
0.25, 1.75, -0.12326734926736956
0.25, 2.0, -0.15065232457387748
0.25, 2.25, -0.17749057901796078
0.25, 2.5, -0.20401225967632852
0.25, 2.75, -0.23041634823191778
0.5, 0.0, -0.22890005442635622
0.5, 0.25, -0.018330330331731266
0.5, 0.5, -0.04789991026394434
0.5, 0.75, -0.04859501847637034
0.5, 1.0, -0.0514438140344398
0.5, 1.25, -0.07048839158164279
0.5, 1.5, -0.09632339795096583
