### DIFF = 0.01
### R = 1.01
### q = 0.75
### Bz(x) = sin2.0x
ky, kz, GROWTH_RATE
0.0, 0.25, 0.027560039042473658
0.0, 0.5, 0.0452043508416484
0.0, 0.75, 0.03970889601350213
0.0, 1.0, -0.0010623767252483838
0.0, 1.25, -0.07741368342856617
0.0, 1.5, -0.18075596243495365
0.0, 1.75, -0.287627463967975
0.0, 2.0, -0.35652186221611676
0.0, 2.25, -0.46240259537840306
0.0, 2.5, -0.5376198066482771
0.25, 0.0, -0.09204255845044985
0.25, 0.25, 0.014487896435716028
0.25, 0.5, 0.016442419186915552
0.25, 0.75, 0.017537684664215382
0.25, 1.0, -0.024340500433660893
0.25, 1.25, -0.10654328819480233
0.25, 1.5, -0.21076254085726612
0.25, 1.75, -0.30985122624623146
0.25, 2.0, -0.3228347148158962
0.25, 2.25, -0.3366388983162681
0.25, 2.5, -0.3513453649902733
0.5, 0.0, -0.1552925134236627
0.5, 0.25, 0.0409468207204742
0.5, 0.5, 0.025410984908147187
0.5, 0.75, -0.08313994602301007
0.5, 1.0, -0.10212461896834837
0.5, 1.25, -0.1661830253391637
0.5, 1.5, -0.25082149801454207
0.5, 1.75, -0.33123139916163
0.5, 2.0, -0.34461563023695374
0.5, 2.25, -0.35740132661989965
0.5, 2.5, -0.3706252543948527
0.75, 0.0, -0.21123162352499503
0.75, 0.25, 0.03583992533388694
0.75, 0.5, 0.0623218213676692
0.75, 0.75, -0.0002973413905120325
0.75, 1.0, -0.09221552087404576
0.75, 1.25, -0.20213387508521605
0.75, 1.5, -0.28056816105678006
0.75, 1.75, -0.3486022258488281
0.75, 2.0, -0.3690178712740557
0.75, 2.25, -0.3793157486096343
0.75, 2.5, -0.38988732366127776
1.0, 0.0, -0.26519731521833434
1.0, 0.25, 0.012105187532475036
1.0, 0.5, 0.0652801095573216
1.0, 0.75, 0.023323272967787755
1.0, 1.0, -0.07791543255768711
1.0, 1.25, -0.15268790182726874
1.0, 1.5, -0.2925971878442335
1.0, 1.75, -0.37266640944877666
1.0, 2.0, -0.3901861450325676
1.0, 2.25, -0.39836928317899345
1.0, 2.5, -0.4074848380466374
1.25, 0.0, -0.6467680489966047
1.25, 0.25, -0.030798432095005396
1.25, 0.5, 0.04898881068579552
1.25, 0.75, 0.022129397953115935
1.25, 1.0, -0.08220973971561779
1.25, 1.25, -0.21343795525165316
1.25, 1.5, -0.23991005515247263
1.25, 1.75, -0.3889737260998456
1.25, 2.0, -0.4074340729053098
1.25, 2.25, -0.41457326503902237
1.25, 2.5, -0.42343472724955644
1.5, 0.0, -0.7506923064938127
1.5, 0.25, -0.09283152803569801
1.5, 0.5, 0.014891644795243386
1.5, 0.75, 0.004244618374215947
1.5, 1.0, -0.09028064294202835
1.5, 1.25, -0.258759779265857
1.5, 1.5, -0.3107449422682903
1.5, 1.75, -0.26780185457943634
1.5, 2.0, -0.42331702559211015
1.5, 2.25, -0.43073983636201946
1.5, 2.5, -0.43909465099655276
1.75, 0.0, -0.8413928611842415
1.75, 0.25, -0.1747303692196122
1.75, 0.5, -0.036510137237761524
1.75, 0.75, -0.029819731668631853
1.75, 1.0, -0.11069964056044178
1.75, 1.25, -0.2711262592020397
1.75, 1.5, -0.3126884535545776
1.75, 1.75, -0.29998537935662484
1.75, 2.0, -0.2920159802492767
1.75, 2.25, -0.44801383578787585
1.75, 2.5, -0.4560413378044263
2.0, 0.0, -0.9291568129329264
2.0, 0.25, -0.278223541955124
2.0, 0.5, -0.10556257283294755
2.0, 0.75, -0.08004601588569404
2.0, 1.0, -0.14669127037513147
2.0, 1.25, -0.2910928823974427
2.0, 1.5, -0.3244059994156888
2.0, 1.75, -0.329062648841444
2.0, 2.0, -0.3198955052907158
2.0, 2.25, -0.32150691588028973
2.0, 2.5, -0.4748002083403093
2.25, 0.0, -1.0148900397515817
2.25, 0.25, -0.6288619692414559
2.25, 0.5, -0.19425984836037521
2.25, 0.75, -0.14695009671379225
2.25, 1.0, -0.19890367417254975
2.25, 1.25, -0.32869235345078707
2.25, 1.5, -0.35592318985059
2.25, 1.75, -0.3521708877031182
2.25, 2.0, -0.34849713594769766
2.25, 2.25, -0.3483829850359654
2.25, 2.5, -0.49380043147404323
2.5, 0.0, -1.400410665545549
2.5, 0.25, -0.6983596501378798
2.5, 0.5, -0.3088266876512863
2.5, 0.75, -0.23224473625900474
2.5, 1.0, -0.26798879926997066
2.5, 1.25, -0.38381247528869766
2.5, 1.5, -0.3967042274452932
2.5, 1.75, -0.3838760597430875
2.5, 2.0, -0.37746121535984933
2.5, 2.25, -0.37664364602642025
2.5, 2.5, -0.38155744866766134
DOMINANT MODE AT (ky,kz) = (1.0, 0.5)
DOMINANT GROWTH RATE = 0.0652801095573216

### DIFF = 0.1
### R = 1.01
### q = 0.75
### Bz(x) = sin2.0x
ky, kz, GROWTH_RATE
0.0, 0.25, 0.005473150478515389
0.0, 0.5, 0.03143570988222916
0.0, 0.75, 0.011397810299530702
0.0, 1.0, -0.034673329157291016
0.0, 1.25, -0.12051371613649463
0.0, 1.5, -0.12610411058932236
0.0, 1.75, -0.1403248839421004
0.0, 2.0, -0.16228136409838967
0.0, 2.25, -0.186429446537052
0.0, 2.5, -0.2116432265968448
0.25, 0.0, -0.04045869773957541
0.25, 0.25, -0.06517495956965831
0.25, 0.5, -0.03422133472769617
0.25, 0.75, -0.027931458291315815
0.25, 1.0, -0.06469803234464716
0.25, 1.25, -0.14019745945938827
0.25, 1.5, -0.18228411478936982
0.25, 1.75, -0.18293414398905497
0.25, 2.0, -0.19478312075751578
0.25, 2.25, -0.21254993885742118
0.25, 2.5, -0.23368960014189072
0.5, 0.0, -0.1476161682717217
0.5, 0.25, -0.1451804163559527
0.5, 0.5, -0.08078019837941024
0.5, 0.75, -0.10382535064589789
0.5, 1.0, -0.14721495654054714
0.5, 1.25, -0.17037418083825376
0.5, 1.5, -0.1974237485498298
0.5, 1.75, -0.22439030376173819
0.5, 2.0, -0.23202347944527973
0.5, 2.25, -0.2435818009215603
0.5, 2.5, -0.26069674604300624
0.75, 0.0, -0.2697977126091829
0.75, 0.25, -0.14227835676134454
0.75, 0.5, -0.22493617918453362
0.75, 0.75, -0.12424470132171218
0.75, 1.0, -0.1479876550898455
0.75, 1.25, -0.1779189213078327
0.75, 1.5, -0.2032082994301287
0.75, 1.75, -0.23058949722346433
0.75, 2.0, -0.2573023926284679
0.75, 2.25, -0.2840268398867421
0.75, 2.5, -0.29717579362565033
1.0, 0.0, -0.4848910494387774
1.0, 0.25, -0.18893954647473557
1.0, 0.5, -0.1678978848142051
1.0, 0.75, -0.26714011977248375
1.0, 1.0, -0.21015433724036972
1.0, 1.25, -0.22678105214536948
1.0, 1.5, -0.3036538182663924
1.0, 1.75, -0.23763254889723584
1.0, 2.0, -0.2644382566201117
1.0, 2.25, -0.29085530660068765
1.0, 2.5, -0.3175741978693907
1.25, 0.0, -0.566687249412725
1.25, 0.25, -0.2567190745718987
1.25, 0.5, -0.19904050348644756
1.25, 0.75, -0.27949806967775986
1.25, 1.0, -0.30641679539988964
1.25, 1.25, -0.2990286206446734
1.25, 1.5, -0.326700554698613
1.25, 1.75, -0.39437453597606953
1.25, 2.0, -0.272784025156471
1.25, 2.25, -0.29900249673308743
1.25, 2.5, -0.32541076053244755
1.5, 0.0, -0.735214019176785
1.5, 0.25, -0.3392241419624017
1.5, 0.5, -0.2545205545518604
1.5, 0.75, -0.30273464693415514
1.5, 1.0, -0.47642446612957934
1.5, 1.25, -0.4203198556491275
1.5, 1.5, -0.38345748373898314
1.5, 1.75, -0.4130478567545707
1.5, 2.0, -0.4859015125193674
1.5, 2.25, -0.4303596683970673
1.5, 2.5, -0.3345905180478571
1.75, 0.0, -0.8204784048401381
1.75, 0.25, -0.43495371877126365
1.75, 0.5, -0.3270884874448087
1.75, 0.75, -0.3549542712924449
1.75, 1.0, -0.4986914217028684
1.75, 1.25, -0.5673241674780906
1.75, 1.5, -0.47999751668361995
1.75, 1.75, -0.4630533590984267
1.75, 2.0, -0.47427917717851
1.75, 2.25, -0.511370577595418
1.75, 2.5, -0.4775872239304437
2.0, 0.0, -1.003914465299291
2.0, 0.25, -0.5436467195721836
2.0, 0.5, -0.41461656079494735
2.0, 0.75, -0.426160769093491
2.0, 1.0, -0.5289402894264188
2.0, 1.25, -0.6397996013054879
2.0, 1.5, -0.636634451985398
2.0, 1.75, -0.5476181766037042
2.0, 2.0, -0.5234409324715174
2.0, 2.25, -0.5325901318791127
2.0, 2.5, -0.5436543289985176
2.25, 0.0, -1.0932789175409166
2.25, 0.25, -0.6650286915274389
2.25, 0.5, -0.5161822040315176
2.25, 0.75, -0.5131276323295804
2.25, 1.0, -0.6059565181919906
2.25, 1.25, -0.5793890548171963
2.25, 1.5, -0.6716577716712291
2.25, 1.75, -0.6528283337169003
2.25, 2.0, -0.5928934662999149
2.25, 2.25, -0.5709731421829017
2.25, 2.5, -0.6007453040443932
2.5, 0.0, -1.1810236546702175
2.5, 0.25, -0.7988394878761785
2.5, 0.5, -0.6311889225239281
2.5, 0.75, -0.6144266181830853
2.5, 1.0, -0.702275057901084
2.5, 1.25, -0.6343339789628063
2.5, 1.5, -0.6353873651650185
2.5, 1.75, -0.6823159922449291
2.5, 2.0, -0.6624092601755689
2.5, 2.25, -0.6290357277503766
2.5, 2.5, -0.6230089976774518
DOMINANT MODE AT (ky,kz) = (0.0, 0.5)
DOMINANT GROWTH RATE = 0.03143570988222916

