By, ky, kz, growth_rate, frequency
0.0, 0.0, 0.25, -8.333333333333329e-06, 1.1479585246256803e-21
0.01, 0.0, 0.25, -8.333333333333334e-06, 1.7543990370494983e-22
0.02, 0.0, 0.25, -8.333333333333329e-06, -4.901575208056479e-22
0.03, 0.0, 0.25, -8.333333333333329e-06, -5.173721019541744e-22
0.04, 0.0, 0.25, -8.333333333333332e-06, 3.980949852893052e-23
0.05, 0.0, 0.25, -8.333333333333329e-06, -5.164901205305118e-22
0.06, 1.0, 3.5, 0.0009462264447519276, 0.07715819883197844
0.07, 1.0, 3.75, 0.0023024380073987474, 0.08877239763214136
0.08, 1.0, 3.75, 0.003347654794937684, 0.09730170263279679
0.09, 0.75, 4.0, 0.004212647737128752, 0.07843946607040522
0.1, 0.75, 4.0, 0.005494222804488645, 0.08280363771125479
0.11, 0.75, 4.0, 0.006838403679091254, 0.0861805049584261
0.12, 0.5, 3.5, 0.009101730621739869, 0.05112398792177752
0.13, 0.5, 3.5, 0.011961868987140726, 0.05158077315343209
0.14, 0.5, 3.5, 0.015172674900010532, 0.05189784181144181
0.15, 0.5, 3.5, 0.018647306602653145, 0.0521307567738995
0.16, 0.5, 3.5, 0.02232508170734505, 0.05231185910282364
0.17, 0.5, 3.25, 0.026163216169045773, 0.04917194405033854
0.18, 0.5, 3.25, 0.03014843484026599, 0.049268039040662494
0.19, 0.5, 3.25, 0.034218502278803895, 0.049370584447539875
0.2, 0.5, 3.25, 0.03834771720832799, 0.049486514132726415
0.21, 0.5, 3.25, 0.04251492166838649, 0.04962034835995846
0.22, 0.5, 3.25, 0.046702706740610035, 0.04977512719353542
0.23, 0.5, 3.25, 0.050896677599798205, 0.04995304503053624
0.24, 0.5, 3.25, 0.05508482902324608, 0.05015586409254191
0.25, 0.5, 3.25, 0.059257039710745356, 0.05038518142311413
0.26, 0.5, 3.25, 0.06340467361693203, 0.05064260444125433
0.27, 0.5, 3.25, 0.06752027056942093, 0.050929871801048035
0.28, 0.5, 3.25, 0.07159730912115465, 0.05124894305951392
0.29, 0.5, 3.25, 0.07563002766140428, 0.05160207196078207
0.3, 0.5, 3.25, 0.07961329339526926, 0.051991872650247205
